cur1_up,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,
cur2_up,0,0.001,0.002,0,0.001,0.002,0,0.001,0.002,0,0.001,0.002,0,0.001,0.002,
long_trades,92,337,834,34,94,226,24,50,105,17,27,55,11,16,28,
long_wins,56,201,476,22,60,130,17,37,62,12,18,28,8,11,16,
long_total_percent,0.2558,0.4139,0.5492,0.2549,0.3621,0.3943,0.2436,0.3407,0.3318,0.1701,0.1838,0.1845,0.0621,0.0586,0.0646,
long_average_percent,0.0028,0.0012,0.0007,0.0075,0.0039,0.0017,0.0102,0.0068,0.0032,0.0100,0.0068,0.0034,0.0056,0.0037,0.0023,0.0102
,,,,,,,,,,,,,,,,
cur1_down,-0.003,-0.003,-0.003,-0.004,-0.004,-0.004,-0.005,-0.005,-0.005,-0.006,-0.006,-0.006,-0.007,-0.007,-0.007,
cur2_down,0,-0.001,-0.002,0,-0.001,-0.002,0,-0.001,-0.002,0,-0.001,-0.002,0,-0.001,-0.002,
short_trades,123,335,837,52,118,256,36,59,112,25,37,55,21,29,39,
short_wins,76,202,478,35,77,146,26,43,63,18,27,34,14,20,23,
short_total_percent,0.3809,0.5498,0.7059,0.3291,0.4146,0.3961,0.2832,0.3381,0.2899,0.2582,0.2809,0.2335,0.2377,0.2413,0.1877,
short_average_percent,0.0031,0.0016,0.0008,0.0063,0.0035,0.0015,0.0079,0.0057,0.0026,0.0103,0.0076,0.0042,0.0113,0.0083,0.0048,
