,btcusd,ethusd,ustusd,xrpusd,ltcusd,solusd,eosusd,dotusd,adausd,iotusd,uniusd,xtzusd,trxusd,omgusd,zecusd,etcusd,udcusd,dshusd,xlmusd,neousd
btcusd,1,0.6330378474372964,0.5368313445129117,0.5389631896458636,0.5972156377546851,0.5972156377546851,0.5992943758606134,0.5952906682956495,0.5954961699974591,0.6024674696095302,0.5999486730333105,0.6025359666853776,0.6100030972909264,0.6076425021079447,0.5763129165348168,0.5759284505242727,0.5673273611565299,0.5716418160143796,0.5753442149753105,0.5813750496628693
ethusd,0.6330378474372964,1,0.5664006313540906,0.5704885059733741,0.5715687771426116,0.5715687771426116,0.5813667423650744,0.5810435991337378,0.5819692216016248,0.5894644885839009,0.5892601844167179,0.592436423073261,0.5982651939043001,0.6047017062459847,0.5921506877665194,0.5949860028386209,0.5893255631455211,0.5912203651720389,0.5942682349346864,0.6010520389249596
ustusd,0.5368313445129117,0.5664006313540906,1,0.5979971071641512,0.5943343371395653,0.5943343371395653,0.5904786355715654,0.5893457117163885,0.588650897062053,0.5852638126307932,0.5842513267234022,0.5794831816680817,0.5759353544850081,0.5705136292769283,0.5672384579210978,0.5642173199991231,0.5640785877038036,0.5607107315151789,0.5574721025045181,0.5542479735843668
xrpusd,0.5389631896458636,0.5704885059733741,0.5979971071641512,1,0.5545600686461198,0.5545600686461198,0.5552432830935764,0.5544674947498736,0.554652175264586,0.5548078297208044,0.554183193136296,0.555206712811334,0.5581997582650825,0.5575832846661463,0.557267163216768,0.5558608771474501,0.5527740542059064,0.5520466482932468,0.5553183996397828,0.556475937327149
ltcusd,0.5972156377546851,0.5715687771426116,0.5943343371395653,0.5545600686461198,1,0.556475937327149,0.559260333537644,0.5588028787860853,0.5589430394204237,0.5609424209670195,0.5608494265118146,0.5615307148756005,0.5637096690668282,0.5652222153190026,0.558850171051434,0.5600503522802249,0.5573293763709848,0.5577501449261484,0.559434317613776,0.5620025884115195
solusd,0.5972156377546851,0.5715687771426116,0.5943343371395653,0.5545600686461198,0.556475937327149,1,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195,0.5620025884115195
eosusd,0.5992943758606134,0.5813667423650744,0.5904786355715654,0.5552432830935764,0.559260333537644,0.5620025884115195,1,0.5615657667223496,0.5617399293648662,0.5619135072034498,0.5616491721936172,0.5624388950429001,0.5644533181236734,0.5654065570277478,0.5651926759843255,0.5653431527169203,0.5631539873516672,0.5621920827853824,0.5637466594177729,0.565310488527607
dotusd,0.5952906682956495,0.5810435991337378,0.5893457117163885,0.5544674947498736,0.5588028787860853,0.5620025884115195,0.5615657667223496,1,0.56496858000134,0.5647866945377978,0.5648050547099068,0.5645747716159041,0.564165095174076,0.5636766632710176,0.563281811217652,0.5627839781344397,0.5621292411419767,0.5616187376293034,0.5610249839632105,0.5608867248853705
adausd,0.5954961699974591,0.5819692216016248,0.588650897062053,0.554652175264586,0.5589430394204237,0.5620025884115195,0.5617399293648662,0.56496858000134,1,0.5611548162454576,0.5610075467400043,0.5611793253506667,0.561021324163898,0.5607631639875809,0.5609931750097706,0.5609483483386064,0.5605158404147669,0.560710504387257,0.560833649321362,0.5609354693816703
iotusd,0.6024674696095302,0.5894644885839009,0.5852638126307932,0.5548078297208044,0.5609424209670195,0.5620025884115195,0.5619135072034498,0.5647866945377978,0.5611548162454576,1,0.5608722447430154,0.5617302925291972,0.5633816696523445,0.5651044341040632,0.5661116633727774,0.5670062076408041,0.565499811227019,0.5660178251935492,0.5674046706094332,0.5688981911583179
uniusd,0.5999486730333105,0.5892601844167179,0.5842513267234022,0.554183193136296,0.5608494265118146,0.5620025884115195,0.5616491721936172,0.5648050547099068,0.5610075467400043,0.5608722447430154,1,0.5686920632862279,0.5684113719801304,0.5680938557560236,0.5679306109639835,0.5675845705759268,0.5670360424010441,0.5666640435098516,0.5661820421603488,0.5661294781028419
xtzusd,0.6025359666853776,0.592436423073261,0.5794831816680817,0.555206712811334,0.5615307148756005,0.5620025884115195,0.5624388950429001,0.5645747716159041,0.5611793253506667,0.5617302925291972,0.5686920632862279,1,0.5660020516535661,0.5662004328816705,0.5661697399757817,0.5663294318745249,0.5644425212274409,0.5643557877277169,0.5645674747038062,0.5650983157314187
trxusd,0.6100030972909264,0.5982651939043001,0.5759353544850081,0.5581997582650825,0.5637096690668282,0.5620025884115195,0.5644533181236734,0.564165095174076,0.561021324163898,0.5633816696523445,0.5684113719801304,0.5660020516535661,1,0.5661149105766522,0.5667577169650908,0.567560855985781,0.5660818686549256,0.5667527385929475,0.5678381964231441,0.5693675164060593
omgusd,0.6076425021079447,0.6047017062459847,0.5705136292769283,0.5575832846661463,0.5652222153190026,0.5620025884115195,0.5654065570277478,0.5636766632710176,0.5607631639875809,0.5651044341040632,0.5680938557560236,0.5662004328816705,0.5661149105766522,1,0.5693871813298566,0.5693013161239452,0.5671141287087572,0.5669246792037843,0.5674783097848339,0.5694985380930059
zecusd,0.5763129165348168,0.5921506877665194,0.5672384579210978,0.557267163216768,0.558850171051434,0.5620025884115195,0.5651926759843255,0.563281811217652,0.5609931750097706,0.5661116633727774,0.5679306109639835,0.5661697399757817,0.5667577169650908,0.5693871813298566,1,0.5650828620481795,0.563812235595839,0.565860533936041,0.5666389350116061,0.5681116804817519
etcusd,0.5759284505242727,0.5949860028386209,0.5642173199991231,0.5558608771474501,0.5600503522802249,0.5620025884115195,0.5653431527169203,0.5627839781344397,0.5609483483386064,0.5670062076408041,0.5675845705759268,0.5663294318745249,0.567560855985781,0.5693013161239452,0.5650828620481795,1,0.5670284612251495,0.5672713881573005,0.5679786721721005,0.5692271888239191
udcusd,0.5673273611565299,0.5893255631455211,0.5640785877038036,0.5527740542059064,0.5573293763709848,0.5620025884115195,0.5631539873516672,0.5621292411419767,0.5605158404147669,0.565499811227019,0.5670360424010441,0.5644425212274409,0.5660818686549256,0.5671141287087572,0.563812235595839,0.5670284612251495,1,0.5682042006822651,0.5671236743682548,0.5660608342199254
dshusd,0.5716418160143796,0.5912203651720389,0.5607107315151789,0.5520466482932468,0.5577501449261484,0.5620025884115195,0.5621920827853824,0.5616187376293034,0.560710504387257,0.5660178251935492,0.5666640435098516,0.5643557877277169,0.5667527385929475,0.5669246792037843,0.565860533936041,0.5672713881573005,0.5682042006822651,1,0.5666984027622393,0.5678168101966867
xlmusd,0.5753442149753105,0.5942682349346864,0.5574721025045181,0.5553183996397828,0.559434317613776,0.5620025884115195,0.5637466594177729,0.5610249839632105,0.560833649321362,0.5674046706094332,0.5661820421603488,0.5645674747038062,0.5678381964231441,0.5674783097848339,0.5666389350116061,0.5679786721721005,0.5671236743682548,0.5666984027622393,1,0.5688015500398756
neousd,0.5813750496628693,0.6010520389249596,0.5542479735843668,0.556475937327149,0.5620025884115195,0.5620025884115195,0.565310488527607,0.5608867248853705,0.5609354693816703,0.5688981911583179,0.5661294781028419,0.5650983157314187,0.5693675164060593,0.5694985380930059,0.5681116804817519,0.5692271888239191,0.5660608342199254,0.5678168101966867,0.5688015500398756,1
