currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,8398,4288,2374,1414,886,578
long_wins,4460,2256,1242,761,474,317
long_total_percent,1.1660,0.6845,0.3758,0.4414,0.3948,0.2298
long_average,0.0001,0.0002,0.0002,0.0003,0.0004,0.0004
,,,,,,
currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,8534,4481,2509,1495,935,640
short_wins,4339,2280,1264,729,443,305
short_total_percent,-0.6636,-0.5027,-0.8874,-0.8021,-0.6852,-0.5227
short_average,-0.0001,-0.0001,-0.0004,-0.0005,-0.0007,-0.0008
,,,,,,
currency,ethusd,ethusd,ethusd,ethusd,ethusd,ethusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,13825,7511,4486,2731,1769,1188
long_wins,7171,3944,2358,1392,903,626
long_total_percent,1.1208,1.2186,0.9519,0.3539,0.0728,0.3300
long_average,0.0001,0.0002,0.0002,0.0001,0.0000,0.0003
,,,,,,
currency,ethusd,ethusd,ethusd,ethusd,ethusd,ethusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,13765,7429,4287,2631,1647,1095
short_wins,6755,3619,2004,1201,719,471
short_total_percent,-1.5116,-1.1949,-1.6732,-1.5405,-1.2850,-1.3207
short_average,-0.0001,-0.0002,-0.0004,-0.0006,-0.0008,-0.0012
,,,,,,
currency,ustusd,ustusd,ustusd,ustusd,ustusd,ustusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,1,1,1,1,1,1
long_wins,1,1,1,1,1,1
long_total_percent,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
long_average,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,,,,,,
currency,ustusd,ustusd,ustusd,ustusd,ustusd,ustusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,0,0,0,0,0,0
short_wins,0,0,0,0,0,0
short_total_percent,0,0,0,0,0,0
short_average,0,0,0,0,0,0
,,,,,,
currency,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,24701,15340,10158,6961,4986,3671
long_wins,13052,8120,5401,3777,2696,1966
long_total_percent,6.1445,3.8182,2.9140,2.5921,1.8316,0.8926
long_average,0.0002,0.0002,0.0003,0.0004,0.0004,0.0002
,,,,,,
currency,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,24597,15926,10712,7462,5348,3953
short_wins,12902,8393,5590,3846,2723,1981
short_total_percent,3.6583,2.1084,0.6418,-0.0172,-1.1343,-1.5190
short_average,0.0001,0.0001,0.0001,0.0000,-0.0002,-0.0004
,,,,,,
currency,ltcusd,ltcusd,ltcusd,ltcusd,ltcusd,ltcusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,21762,12453,7336,4547,2893,1934
long_wins,11415,6647,3936,2465,1563,1042
long_total_percent,5.2138,3.7034,2.8031,2.0644,1.1083,0.7308
long_average,0.0002,0.0003,0.0004,0.0005,0.0004,0.0004
,,,,,,
