currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,13172,6580,3528,2046,1291,840
long_wins,6837,3380,1829,1086,705,468
long_total_percent,-0.17668080066378458,-0.3338856017276927,-0.09456586723619174,0.052601618340661224,0.04862314903130709,0.004965132193714628
long_average,-1.341336172667663e-05,-5.074249266378309e-05,-2.680438413724256e-05,2.5709490880088575e-05,3.766316733641138e-05,5.910871659184081e-06

currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,13438,6824,3769,2235,1391,945
short_wins,6927,3523,1909,1114,686,477
short_total_percent,-1.645059491936457,-1.216343058391275,-1.1914285048230047,-0.9069638063298994,-0.6723837395045464,-0.4156118755030384
short_average,-0.0001224184768519465,-0.00017824487960012823,-0.00031611263062430474,-0.0004058003607740042,-0.0004833815524834985,-0.0004398009264582417

currency,ethusd,ethusd,ethusd,ethusd,ethusd,ethusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,22357,11885,6878,4122,2635,1752
long_wins,11440,6077,3543,2108,1350,905
long_total_percent,-0.028497652370068828,-0.20800341134781158,0.11307230856541542,-0.18330152993360993,-0.18391580597157053,-0.06363912296096152
long_average,-1.2746635223898032e-06,-1.7501338775583643e-05,1.6439707555309017e-05,-4.446907567530566e-05,-6.979726981843284e-05,-3.632370032018352e-05

currency,ethusd,ethusd,ethusd,ethusd,ethusd,ethusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,22318,11727,6620,4029,2512,1671
short_wins,11167,5862,3276,1948,1194,807
short_total_percent,-2.2436787940949885,-1.9282437257330243,-1.6715252232792706,-1.5190992363557365,-1.2529525950210716,-0.8684469398581274
short_average,-0.00010053225172932111,-0.0001644277074898119,-0.0002524962572929412,-0.0003770412599542657,-0.0004987868610752674,-0.0005197168999749416

currency,ustusd,ustusd,ustusd,ustusd,ustusd,ustusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,3,3,3,3,3,2
long_wins,1,1,1,1,1,1
long_total_percent,1.0011864059188561e-05,1.0011864059188561e-05,1.0011864059188561e-05,1.0011864059188561e-05,1.0011864059188561e-05,1.0011864059188561e-05
long_average,3.3372880197295203e-06,3.3372880197295203e-06,3.3372880197295203e-06,3.3372880197295203e-06,3.3372880197295203e-06,5.005932029594281e-06

currency,ustusd,ustusd,ustusd,ustusd,ustusd,ustusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,0,0,0,0,0,0
short_wins,0,0,0,0,0,0
short_total_percent,0.0,0.0,0.0,0.0,0.0,0.0
short_average,0,0,0,0,0,0

currency,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,41223,24941,16143,10851,7682,5583
long_wins,22421,13621,8904,6061,4356,3174
long_total_percent,5.849128437507448,3.451994334075191,2.102188287193804,1.7099635333948624,1.2855339398569756,0.9033008840242922
long_average,0.00014188992643687865,0.00013840641249649938,0.0001302229007739456,0.00015758580162149685,0.00016734365267599265,0.0001617948923561333

currency,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd
