currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,67328,43142,29167,20600,15139,11434
long_wins,38695,25309,17338,12217,8962,6856
long_total_percent,58.5311,52.4564,44.8287,37.7135,32.4833,29.4836
long_average,0.0009,0.0012,0.0015,0.0018,0.0021,0.0026
,,,,,,
currency,btcusd,btcusd,btcusd,btcusd,btcusd,btcusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,65436,41277,27753,19453,14088,10571
short_wins,36123,23296,15931,11306,8259,6221
short_total_percent,47.2288,41.6448,36.3174,31.2150,27.4635,24.2695
short_average,0.0007,0.0010,0.0013,0.0016,0.0019,0.0023
,,,,,,
currency,ethusd,ethusd,ethusd,ethusd,ethusd,ethusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,55713,35211,23153,15867,11206,8148
long_wins,29938,19360,12939,8910,6328,4646
long_total_percent,16.3231,15.5325,13.5777,9.8873,8.1602,7.0015
long_average,0.0003,0.0004,0.0006,0.0006,0.0007,0.0009
,,,,,,
currency,ethusd,ethusd,ethusd,ethusd,ethusd,ethusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,54671,33855,22032,14941,10506,7610
short_wins,28030,17665,11623,7957,5588,4029
short_total_percent,7.2763,6.3429,5.1622,4.0318,2.9431,1.8211
short_average,0.0001,0.0002,0.0002,0.0003,0.0003,0.0002
,,,,,,
currency,ustusd,ustusd,ustusd,ustusd,ustusd,ustusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,110,52,28,17,12,10
long_wins,77,36,20,14,10,8
long_total_percent,0.1923,0.1173,0.0828,0.0707,0.0673,0.0561
long_average,0.0017,0.0023,0.0030,0.0042,0.0056,0.0056
,,,,,,
currency,ustusd,ustusd,ustusd,ustusd,ustusd,ustusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,98,42,21,15,12,8
short_wins,71,30,15,11,8,5
short_total_percent,0.1877,0.0830,0.0574,0.0489,0.0295,0.0273
short_average,0.0019,0.0020,0.0027,0.0033,0.0025,0.0034
,,,,,,
currency,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,57051,36922,25295,17947,13153,10001
long_wins,32158,21099,14429,10297,7565,5855
long_total_percent,36.7668,30.9574,24.8114,20.4600,16.8875,15.5290
long_average,0.0006,0.0008,0.0010,0.0011,0.0013,0.0016
,,,,,,
currency,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd,xrpusd
short_threshold,0.003,0.004,0.005,0.006,0.007,0.008
short_trades,55264,35421,24159,17125,12574,9528
short_wins,29945,19216,13073,9280,6838,5104
short_total_percent,22.5939,15.7602,11.6775,9.1047,7.6978,5.7544
short_average,0.0004,0.0004,0.0005,0.0005,0.0006,0.0006
,,,,,,
currency,ltcusd,ltcusd,ltcusd,ltcusd,ltcusd,ltcusd
long_threshold,-0.003,-0.004,-0.005,-0.006,-0.007,-0.008
long_trades,90291,61273,43931,32590,24867,19422
long_wins,49851,35072,25798,19498,15141,12028
long_total_percent,126.3035,120.1851,115.8390,107.8702,99.3210,93.6686
long_average,0.0014,0.0020,0.0026,0.0033,0.0040,0.0048
