Currency,StartTime,EndTime,Days,Open,Close,High,Low,TradeValue,DailyTradeValue,TradeValue1Y,DailyTradeValue1Y
btcusd,1364774820000,1640942160000,3196,93.25,48567.39934416,68958,0.01,391585419284.55,122523598.023952,147780383150.596,404877762.056428
ethusd,1457539440000,1640942340000,2122,10.297,3801.6,4864.9,5.861,157528584398.332,74235902.1669801,77898183285.7485,213419680.234927
ustusd,1544950920000,1640948880000,1111,1.0249,1.0001,1.06,0.97962,46992187251.41,42297198.2460936,39919917827.5427,109369637.883679
xrpusd,1495216620000,1640943060000,1686,0.37999,0.8513,3.3,0.11004,45670714843.8353,27088205.7199498,14666537736.8918,40182295.1695664
ltcusd,1368976980000,1640942220000,3147,3.1491,152.27,413.46,0.01,29433407657.0455,9352846.41151748,7862453097.8269,21540967.3913066
solusd,1614246000000,1640955060000,309,24.6,175.56,259.8,11.556,5345931192.39059,17300748.1954388,5345931192.39059,14646386.8284674
eosusd,1498928340000,1640943300000,1643,1.2,3.1341,23.029,0.476,38456256581.4659,23406120.8651649,4886288605.46747,13387092.0697739
dotusd,1598037720000,1640952180000,496,3.0037,27.641,55.047,2.8,4332980347.86352,8735847.4755313,4230660571.71596,11590850.8814136
adausd,1596708660000,1640952420000,512,0.1427,1.3581,3.099,0.07578,3414431021.49815,6668810.58886358,3386609067.50255,9278381.00685631
iotusd,1497292140000,1640943120000,1662,0.25,1.45280399,5.8,0.075506,20054778847.3027,12066653.9394119,2461744241.24361,6744504.77053043
uniusd,1600502400000,1640953200000,468,6.5,18.433,44.93,1.761,2075749134.77361,4435361.39908891,2036145327.65161,5578480.34973044
xtzusd,1538832240000,1640948100000,1181,1.3818,4.47,9.1383,0.31,2024427276.52123,1714163.6549714,1510166256.45316,4137441.79850182
trxusd,1518607200000,1640945340000,1415,0.04375,0.078077,0.17989,0.0071109,1995589019.20577,1410310.26092281,1482640233.50023,4062028.03698693
omgusd,1500035700000,1640943540000,1630,0.5,6.1035,28.5,0.31499,6500698924.80189,3988158.84957171,1237537602.70962,3390513.98002634
zecusd,1477726740000,1640942580000,1889,20000,156.1,20000,15.524,4987854489.75211,2640473.52554373,1183394421.345,3242176.49683562
etcusd,1469575200000,1640942220000,1983,2.5,35.58,158.76,0.72,10355973684.2484,5222377.04702389,1183008504.69649,3241119.19094928
udcusd,1545434220000,1640949000000,1105,1.0357,1.0001,16360,0.96,1166687813.17226,1055826.07526902,1128243467.0332,3091077.99187179
dshusd,1488563400000,1640942820000,1763,42.99,135.8,1568.7,32.796,4894876753.70612,2776447.39291329,1095603520.32266,3001653.48033606
xlmusd,1525174020000,1640946900000,1339,0.45,0.27562,0.799,0.027261,1224069605.7791,914166.994607245,1012253892.19169,2773298.33477176
neousd,1504774020000,1640943660000,1576,22.3,26.66,198.2,3.7385,8578165796.73082,5442998.60198656,981403414.543359,2688776.47820098
yfiusd,1601725020000,1640953500000,454,24000,31847,94576,7464,780300467.495819,1718723.49668683,717675956.91067,1966235.4983854
xmrusd,1480530840000,1640942700000,1856,7.649,227.84,518.76,7.0014,4833993992.56994,2604522.62530708,695714117.307957,1906066.07481632
luna-usd,1628623080000,1630242960000,18,15.59,34.764,36.857,15.468,695241839.645855,38624546.6469919,695241839.645855,1904772.1634133
filusd,1602786840000,1640953560000,441,47.147,35.324,989.88,20.01,692337880.910326,1569927.16759711,683841944.780008,1873539.57473975
bsvusd,1543630800000,1640948460000,1126,93.883,124.33,490,44.765,2417535941.2813,2147012.38124449,644797718.784688,1766569.09256079
atousd,1556197440000,1640949360000,980,3.4,31.511,44.708,1.1533,673188826.648949,686927.374131581,642504162.175077,1760285.37582213
algusd,1561109520000,1640950500000,924,3.2,1.7518,10,0.10297,648656942.229292,702009.677737329,606963580.334434,1662913.91872448
bttusd,1550576280000,1640949420000,1045,0.0009522,0.002817,0.048,0.00015,507810585.912819,485943.144414181,497450812.3247,1362878.93787589
zrxusd,1517287380000,1640944800000,1431,1.7707,0.81797,2.395,0.10594,817033230.577944,570952.641913308,465390231.953328,1275041.73137898
vetusd,1535652300000,1640947860000,1218,0.0159,0.08684,0.27841,0.0018822,313775129.420041,257615.048784927,302128713.590814,827749.900248806
leousd,1558340520000,1640950140000,956,2.49,3.772,3.92,0.80512,546731881.841945,571895.273893248,237564489.919554,650861.616217956
sunusd,1607595420000,1640954520000,386,10.4,0.022274,151330,0.0011111,216585022.688018,561101.095046678,216573429.756676,593351.862347058
jstusd,1604135280000,1640954040000,426,0.022203,0.055387,0.19875,0.017521,206218751.481875,484081.576248532,206032386.132816,564472.290774839
